Employee ID,First Name,Middle Name,Last Name,Date of Birth,Gender,Email Address,Phone Number,Address,City,State/Province,Zip Code/Postal Code,Country,Job Title,Department,Manager ID,Hire Date,Termination Date,Salary,Hourly Rate,Contract Type,Contract Start Date,Contract End Date,Skills,Certifications,Education
a14de57c-5e3c-4b8d-b7e5-bc2095cb1713,Connie Kathleen,,Cox,1977-10-13,Female,joe16@example.net,+1-638-201-7158,"1894 Reeves Walks
Phillipschester, CT 35434",East Amandachester,Ohio 32294,,Costa Rica,"Education officer, museum",IT,3ffc7ade-0e15-4269-b83a-f004d3938945,2020-05-22,,61958,65,Full-time,2023-10-02,2024-11-02,"['lot', 'easy', 'continue']",AWS,PhD
de40f330-d87e-4b73-9923-b279dd7f4f19,Shane Heidi,,Delgado,1966-02-20,Other,bwyatt@example.com,001-242-739-4548x043,"2178 Smith Shoals
South Carolinechester, MD 19779",South Kristinstad,South Dakota 27399,,Antigua and Barbuda,Newspaper journalist,Finance,417b9a13-db3a-4ed8-a36f-73561c34ee93,2023-09-12,2023-11-13,92575,66,Full-time,2022-12-01,2024-06-27,"['director', 'activity', 'color']",AWS,Bachelor
0020d213-781f-45a4-94d8-a56c914f0322,Shane Brittany,,Beck,1960-12-31,Female,rjackson@example.net,(345)292-5939x93954,"7695 Matthew Roads
Johnsonville, LA 50052",Vincentville,Maine,12230,Sweden,Lobbyist,Marketing,dce0d417-ae83-4aac-8e55-174c7b967529,2022-03-03,,38000,96,Full-time,2023-08-28,2024-05-06,"['through', 'western', 'of']",Cisco Certified,Bachelor
bdcac170-b7b5-4ae3-ac8b-dc1f9f32a48d,Jessica Sara,,Goodman,1982-12-11,Male,(951)801-7000x845,kelsey43@example.org,"33817 Richardson Cliffs
Matthewhaven, ME 15922",West Georgeview,Utah,15705,Chile,"Accountant, chartered public finance",IT,2d41f6d0-69e2-42e3-b2b3-db59d4e727a5,2023-08-28,,54601,33,Part-time,2021-05-22,2024-09-11,"['which', 'tax', 'society']",AWS,PhD
7de57982-d4da-42a6-9f72-6593cfcaa1a7,Ryan Isaiah,,Kelly,1966-06-11,Other,halescott@example.org,(540)862-5111,"64245 Bush Viaduct Suite 831
Melissafort, WA 23989",Markborough,Mississippi,95564,Egypt,Legal secretary,IT,8fc9d1f2-cd21-4263-81b0-4ef047144613,2023-06-11,,40567,36,Contract,2021-03-06,2025-09-18,"['chair', 'eight', 'stop']",AWS,Master
865d56dc-e852-43b4-a519-2379286e5b1b,Nichole Barbara,,Rivera,1988-08-05,Female,001-717-817-3625x3119,williammiller@example.com,"Unit 8346 Box 8432
DPO AE 16791",East Krystal,Montana,98486,Togo,Sports therapist,Marketing,479c6ec6-f117-408a-bea3-0449c3ef8074,2020-03-18,,82874,72,Contract,2020-02-29,2025-10-24,"['house', 'help', 'friend']",CCNA,Bachelor
146e35ac-9797-43e5-b802-2c2a64feba3c,Kelly Joshua,,Perez,1984-01-06,Other,(689)286-1922x31295,donnamartinez@example.org,"0146 Kelly Pike Suite 340
Lake Ronald, NJ 60707",Port Joseph,Maryland,23085,Mauritius,"Buyer, industrial",HR,3660fc85-2d72-4fb3-8a7a-50f98b6eb28c,2023-06-15,,66528,3,Full-time,2021-03-18,2025-09-17,"['ago', 'find', 'president']",CCNA,Master
bc6b1488-9031-4933-9fce-1a606b0c79e4,Daniel Charles,,Summers,2005-08-06,Female,patriciahodges@example.net,001-530-275-6313,"3053 Odonnell Forge
Rodriguezfurt, FM 81456",Bruceshire,Connecticut,86159,Martinique,Social worker,Marketing,12397529-6cac-465a-a4c0-90fce6eacec4,2023-04-03,,89088,57,Full-time,2023-03-21,2025-10-04,"['language', 'deal', 'above']",Microsoft Certified,Bachelor
6cc9a85e-ead6-400e-b5f3-840c7ebd026b,Daniel Karen,,Chapman,1972-11-07,Female,william34@example.net,001-611-922-2464x130,"07512 Keller Views
New Kimberly, MP 50229",Jimenezland,New Mexico,86048,Palau,Surgeon,Marketing,a9d6ac69-7161-40d0-a63d-678f44b62a67,2023-08-04,,86879,93,Contract,2023-05-13,2026-04-17,"['suggest', 'summer', 'ball']",AWS,PhD
83ab679f-f5e9-4856-914a-31f12b39cd45,Renee Gary,,Diaz,1969-10-26,Female,stephaniesanchez@example.org,962-202-5105x9330,"98987 Lopez Mall
Lake Joshua, CT 39599",South Gwendolyn,Louisiana,37205,Monaco,Learning mentor,Finance,decfea9f-ec84-4127-bf77-e707465da90b,2020-02-29,2024-02-26,24454,49,Contract,2020-11-09,2025-08-07,"['citizen', 'writer', 'common']",Microsoft Certified,Master
